Date;Calories;Carbs;Fat;Protein;Cholest;Sodium;Sugars;Fiber;Exercise;FB Cals;FB BMR?
20-Feb-15;3002;217;56;106;264;2370;10;6;731;2874;2143
21-Feb-15;2519;240;35;56;144;4898;7;9;823;2886;2063
22-Feb-15;3163;342;66;78;16;2986;16;11;750;2805;2055
23-Feb-15;3065;188;50;137;372;2331;11;4;701;2756;2055
24-Feb-15;2662;181;58;90;361;2034;4;3;1160;3215;2055
25-Feb-15;2995;236;38;96;144;2103;58;7;768;2823;2055
26-Feb-15;1342;149;40;60;348;2047;22;14;677;2732;2055
27-Feb-15;3257;232;114;98;100;2832;46;17;802;2857;2055
28-Feb-15;2040;146;43;51;0;2161;20;14;622;2677;2055
1-Mar-15;1903;139;37;44;0;1564;25;16;728;2783;2055
2-Mar-15;2876;177;80;67;0;2011;28;13;536;2591;2055
3-Mar-15;2411;177;69;79;0;2746;26;11;628;2683;2055
4-Mar-15;2914;225;69;96;65;3421;35;19;619;2674;2055
5-Mar-15;2271;151;41;57;0;1666;17;4;651;2706;2055
6-Mar-15;2752;211;68;69;2;2269;19;13;635;2690;2055
7-Mar-15;2915;210;86;62;0;2935;38;22;979;3032;2053
8-Mar-15;2930;262;56;54;0;2821;28;28;750;2803;2053
9-Mar-15;2452;229;41;62;92;1827;33;11;508;2561;2053
10-Mar-15;2956;283;71;54;25;3615;20;22;523;2576;2053
11-Mar-15;2418;185;51;71;0;1945;18;29;682;2735;2053
12-Mar-15;2240;155;47;71;0;2272;10;20;761;2814;2053
13-Mar-15;3300;221;68;89;92;2756;14;24;709;2762;2053
14-Mar-15;2622;178;46;60;0;2160;16;30;1118;3173;2055
15-Mar-15;2495;184;34;78;0;1934;16;18;714;2768;2054
16-Mar-15;2663;161;84;87;0;2624;9;30;737;2792;2055
17-Mar-15;2895;184;74;84;0;3504;17;28;694;2749;2055
18-Mar-15;2617;208;62;68;92;2521;33;24;697;2752;2055
19-Mar-15;2584;135;76;79;0;2783;12;10;473;2528;2055
20-Mar-15;2998;188;61;81;0;1962;8;11;795;2850;2055
21-Mar-15;2947;220;79;78;53;1754;33;16;919;2974;2055
22-Mar-15;3299;177;75;95;396;2697;20;14;917;2972;2055
23-Mar-15;3086;207;69;98;158;2976;16;4;862;2925;2063
24-Mar-15;2963;360;44;99;66;2381;14;45;1087;3150;2063
25-Mar-15;2798;192;59;87;176;2054;11;6;876;2936;2060
26-Mar-15;3633;252;68;82;587;2836;21;13;1109;3172;2063
27-Mar-15;2932;250;50;59;66;3285;7;4;933;2996;2063
28-Mar-15;2511;179;51;133;294;2853;31;12;754;2817;2063
29-Mar-15;2330;204;97;81;457;3602;59;32;760;2823;2063
30-Mar-15;3037;278;129;149;344;3578;23;33;640;2703;2063
31-Mar-15;1931;231;49;43;83;1709;95;14;309;2732;2423
1-Apr-15;1724;138;81;69;100;2687;23;19;270;2333;2063
2-Apr-15;1578;76;37;45;41;911;4;11;510;2573;2063
3-Apr-15;2917;221;35;55;482;1485;27;8;519;2582;2063
4-Apr-15;2074;138;23;44;16;2624;20;6;742;2833;2091
5-Apr-15;3370;273;54;95;131;3848;30;11;1183;3259;2076
6-Apr-15;3079;186;34;89;473;1383;19;0;716;2792;2076
7-Apr-15;3314;337;69;61;16;2064;22;8;1130;3206;2076
8-Apr-15;3563;389;106;122;139;2987;7;35;525;2601;2076
9-Apr-15;2631;162;44;78;195;2516;32;7;408;2484;2076
10-Apr-15;2603;187;49;60;423;2753;13;14;793;2869;2076
11-Apr-15;2808;187;36;39;124;1147;9;6;696;2772;2076
12-Apr-15;3207;250;60;83;139;1732;12;12;720;2780;2060
13-Apr-15;3207;250;60;83;139;1732;12;12;720;2819;2099
14-Apr-15;2754;261;84;70;8;1139;4;4;759;2853;2094
15-Apr-15;2732;245;25;58;126;2104;11;5;793;2969;2176
16-Apr-15;2406;222;29;46;56;1559;21;11;909;3059;2150
